Sr. No.,Year,Author,Exp,Data,Vel,Temp,RH,hours,Fit,Variety,Technique,Pretreatment,P_temp,P_time,kg_r,kg_m,Diff_r,Diff_m,Do,TD,alpha,aLR,aRL,mwR,Density,Berry Count,Radius,Dry_Mass,Weight_i,Vol_i,Water_i,MR_i,MC_i,MC_i,Weight_f,Vol_f,Water_f,MC_eq_Lit,MC_eq_Lit,MR_f,MC_f,MC_f,Pretreatment
1,1970,Bottrill D. E.,1,4,0.01,27,50,500,0.482,Thomson,Dark,Chemical,25,180,,13.93,,6.40E-03,1.25E+09,1583,1.59E-02,2.30E-02,5.49E-01,29.6,1075,150,0.685,37.576,217.569,202.39,179.993,1,4.7901,0.8273,44.733,34.677,7.157,0.1494,0.13,0.0088,0.1905,0.16,Commercial dipping oil
2,1970,Bottrill D. E.,2,7,0.01,27,50,716,0.593,Thomson,Shade,Chemical,25,180,,15.952,,6.40E-03,1.25E+09,1583,1.59E-02,2.30E-02,5.49E-01,29.6,1075,150,0.685,42.389,217.457,202.285,175.068,1,4.13,0.8051,50.463,39.119,8.074,0.1494,0.13,0.0103,0.1905,0.16,Commercial dipping oil
3,1970,Bottrill D. E.,3,5,0.01,27,50,376,0.377,Thomson,Open Sun,Chemical,25,180,,32.96,,6.40E-03,1.25E+09,1583,1.59E-02,2.30E-02,5.49E-01,29.6,1075,150,0.685,50.351,217.355,202.19,167.004,1,3.3168,0.7683,59.942,46.466,9.591,0.1494,0.13,0.013,0.1905,0.16,Commercial dipping oil
4,1970,Bottrill D. E.,4,6,0.01,27,50,912,2.378,Thomson,Dark,Untreated,Untreated,Untreated,,5.775,,6.40E-03,1.25E+09,1583,1.59E-02,2.30E-02,5.49E-01,29.6,1075,150,0.685,43.347,217.355,202.19,174.008,1,4.0143,0.8006,51.603,40.002,8.256,0.1494,0.13,0.0106,0.1905,0.16,Untreated
5,1970,Bottrill D. E.,5,9,0.01,27,50,1150,5.101,Thomson,Shade,Untreated,Untreated,Untreated,,15.925,,6.40E-03,1.25E+09,1583,1.59E-02,2.30E-02,5.49E-01,29.6,1075,150,0.685,54.188,217.457,202.285,163.269,1,3.013,0.7508,64.509,50.007,10.321,0.1494,0.13,0.0143,0.1905,0.16,Untreated
6,1970,Bottrill D. E.,6,6,0.01,27,50,718,8.131,Thomson,Open Sun,Untreated,Untreated,Untreated,,6.541,,6.40E-03,1.25E+09,1583,1.59E-02,2.30E-02,5.49E-01,29.6,1075,150,0.685,46.507,217.457,202.285,170.95,1,3.6758,0.7861,55.365,42.919,8.858,0.1494,0.13,0.0116,0.1905,0.16,Untreated
7,1971,Grncarevic M.,1,5,2,40,50,48,0.16,Thomson,Convective,Chemical,25,180,,37.93,,8.54E-05,8.50E+08,2883,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,310.735,240.88,160.735,0.1561,0.135,0.1661,1.0716,0.5173,Fully dipped in emulsion of 2.5% (w/v) K2CO3 and 2% (v/v) Voullaire's 'E-Muls-Oyle' oil
8,1971,Grncarevic M.,2,5,2,40,50,48,0.086,Thomson,Convective,Chemical,25,180,,21.952,,8.54E-05,8.50E+08,2883,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,486.25,376.938,336.25,0.1561,0.135,0.3785,2.2417,0.6915,Half dipped in emulsion of 2.5% (w/v) K2CO3 and 2% (v/v) Voullaire's 'E-Muls-Oyle' oil
9,1971,Grncarevic M.,3,5,2,40,50,48,0.023,Thomson,Convective,Untreated,Untreated,Untreated,,8.96,,8.54E-05,8.50E+08,2883,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,729.825,565.756,579.825,0.1561,0.135,0.6731,3.8655,0.7945,Untreated
10,1974,Petrucci V.,1,151,0.05,29,57,446,1.061,Thomson,Convective,Chemical,25,180,,35.93,,6.73E-06,9.50E+08,3583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,245.603,190.39,95.603,0.1364,0.12,0.0906,0.6374,0.3893,Commercial ethyl ester mixture (also comprising of an emulsifier and K2CO3)
11,1974,Petrucci V.,2,123,0.01,29,57,446,0.746,Thomson,Open Sun,Untreated,Untreated,Untreated,,6.952,,6.73E-06,9.50E+08,3583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,438.097,339.61,288.097,0.1364,0.12,0.3226,1.9206,0.6576,Untreated
12,1980,Stafford A. E.,1,6,2.88,71,17,10,0.011,Thomson,Convective,Chemical,25,180,,19.93,,3.40E-04,8.76E+08,2703,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,397.775,308.353,247.775,0.1364,0.12,0.274,1.6518,0.6229,2% K2CO3 + 2% ethyl oleate + 0.1% Tween 60 emulsifier
13,1980,Stafford A. E.,2,6,2.88,71,17,10,0.044,Thomson,Convective,Chemical,25,180,,20.952,,3.40E-04,8.76E+08,2703,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,397.775,308.353,247.775,0.1364,0.12,0.274,1.6518,0.6229,2% K2CO3 + 2% methyl oleate + 0.1% Tween 60 emulsifier
14,1980,Stafford A. E.,3,7,2.88,71,17,15,0.215,Thomson,Convective,Untreated,Untreated,Untreated,,15.96,,3.40E-04,8.76E+08,2703,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,432.311,335.124,282.311,0.1364,0.12,0.3157,1.8821,0.653,Untreated
15,1980,Stafford A. E.,4,7,2.88,71,17,15,0.03,Thomson,Convective,Untreated,Untreated,Untreated,,11.775,,3.40E-04,8.76E+08,2703,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,399.39,309.605,249.39,0.1364,0.12,0.276,1.6626,0.6244,Untreated (Replicate of the previous experiment)
16,1980,Stafford A. E.,5,9,2.88,43,57,96,0.075,Thomson,Convective,Untreated,Untreated,Untreated,,20.925,,1.70E-04,8.76E+08,2703,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,327.446,253.834,177.446,0.1364,0.12,0.1892,1.183,0.5419,Untreated
17,1980,Stafford A. E.,6,7,2.88,43,57,60,0.008,Thomson,Convective,Chemical,25,180,,36.541,,1.70E-04,8.76E+08,2703,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,340.655,264.074,190.655,0.1364,0.12,0.2052,1.271,0.5597,2% K2CO3 + 2% methyl oleate + 0.1% Tween 60 emulsifier (Dipped once)
18,1980,Stafford A. E.,7,5,2.88,43,57,36,0.12,Thomson,Convective,Chemical,25,360,,40,,1.70E-04,8.76E+08,2703,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,337.714,261.794,187.714,0.1364,0.12,0.2016,1.2514,0.5558,2% K2CO3 + 2% methyl oleate + 0.1% Tween 60 emulsifier (Dipped twice)
19,1980,Stafford A. E.,8,5,2.88,43,57,36,0.039,Thomson,Convective,Chemical,25,540,,55,,1.70E-04,8.76E+08,2703,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,313.234,242.817,163.234,0.1364,0.12,0.1721,1.0882,0.5211,2% K2CO3 + 2% methyl oleate + 0.1% Tween 60 emulsifier (Dipped thrice)
20,1983,May P.,1,15,0.6,40,40,168,0.369,Thomson,Convective,Untreated,Untreated,Untreated,,16.93,,7.46E-03,8.50E+08,1483,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250.723,1000,930.233,749.277,1,2.9885,0.7493,298.48,231.38,47.757,0.1364,0.12,0.019,0.1905,0.16,Untreated
21,1983,May P.,2,14,0.6,40,40,156,0.515,Thomson,Convective,Chemical,25,180,,23.952,,7.46E-03,8.50E+08,1483,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250.723,1000,930.233,749.277,1,2.9885,0.7493,298.48,231.38,47.757,0.1364,0.12,0.019,0.1905,0.16,Grapes sprayed with small amounts of small-sized droplets of alkaline emulsion containing K2CO3
22,1983,May P.,3,12,0.6,40,40,156,1.062,Thomson,Convective,Chemical,25,180,,38.06,,7.46E-03,8.50E+08,1483,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250.723,1000,930.233,749.277,1,2.9885,0.7493,298.48,231.38,47.757,0.1364,0.12,0.019,0.1905,0.16,Grapes sprayed with small amounts of large-sized droplets of alkaline emulsion containing K2CO3
23,1983,May P.,4,11,0.6,40,40,156,0.899,Thomson,Convective,Chemical,25,180,,39.775,,7.46E-03,8.50E+08,1483,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250.723,1000,930.233,749.277,1,2.9885,0.7493,298.48,231.38,47.757,0.1364,0.12,0.019,0.1905,0.16,Grapes sprayed with moderate amounts of small-sized droplets of alkaline emulsion containing K2CO3
24,1983,May P.,5,11,0.6,40,40,144,0.431,Thomson,Convective,Chemical,25,180,,41.925,,7.46E-03,8.50E+08,1483,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250.723,1000,930.233,749.277,1,2.9885,0.7493,298.48,231.38,47.757,0.1364,0.12,0.019,0.1905,0.16,Grapes sprayed with moderate amounts of large-sized droplets of alkaline emulsion containing K2CO3
25,1983,May P.,6,11,0.6,40,40,144,0.276,Thomson,Convective,Chemical,25,180,,36.541,,7.46E-03,8.50E+08,1483,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250.723,1000,930.233,749.277,1,2.9885,0.7493,298.48,231.38,47.757,0.1364,0.12,0.019,0.1905,0.16,Grapes sprayed with large amounts of small-sized droplets of alkaline emulsion containing K2CO3
26,1983,May P.,7,10,0.8,40,40,108,0.243,Thomson,Convective,Chemical,25,180,,45,,7.46E-03,8.50E+08,1483,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250.723,1000,930.233,749.277,1,2.9885,0.7493,298.48,231.38,47.757,0.1364,0.12,0.019,0.1905,0.16,Grapes sprayed with large amounts of large-sized droplets of alkaline emulsion containing K2CO3
27,1983,May P.,8,9,0.9,40,40,96,0.186,Thomson,Convective,Chemical,25,180,,62,,7.46E-03,8.50E+08,1483,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250.723,1000,930.233,749.277,1,2.9885,0.7493,298.48,231.38,47.757,0.1364,0.12,0.019,0.1905,0.16,Grapes completely immersed in alkaline emulsion containing K2CO3
28,1985,Eissen W.,1,122,0.5,30,70,100,0.2,Thomson,Convective,Untreated,Untreated,Untreated,,86.93,,1.69E-04,8.50E+08,2583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,247.257,1000,930.233,752.743,1,3.0444,0.7527,481.116,372.958,233.859,0.1628,0.14,0.2717,0.9458,0.4861,Untreated
29,1985,Eissen W.,2,129,0.5,40,40,99,0.498,Thomson,Convective,Untreated,Untreated,Untreated,,32.952,,2.22E-04,8.50E+08,2583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,247.257,1000,930.233,752.743,1,3.0444,0.7527,288.102,223.335,40.845,0.1628,0.14,0.0008,0.1652,0.1418,Untreated
30,1985,Eissen W.,3,77,0.5,50,25,48,0.051,Thomson,Convective,Untreated,Untreated,Untreated,,25.06,,2.87E-04,8.50E+08,2583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,247.257,1000,930.233,752.743,1,3.0444,0.7527,275.117,213.269,27.86,0.1127,0.1013,0,0.1127,0.1013,Untreated
31,1985,Eissen W.,4,71,0.5,60,15,28,0.029,Thomson,Convective,Untreated,Untreated,Untreated,,39.775,,3.65E-04,8.50E+08,2583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,247.257,1000,930.233,752.743,1,3.0444,0.7527,274.088,212.471,26.831,0.1085,0.0979,0,0.1085,0.0979,Untreated
32,1985,Eissen W.,5,64,0.5,70,9,20,0.031,Thomson,Convective,Untreated,Untreated,Untreated,,41.925,,4.58E-04,8.50E+08,2583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,247.257,1000,930.233,752.743,1,3.0444,0.7527,268.069,207.806,20.812,0.0842,0.0776,0,0.0842,0.0776,Untreated
33,1985,Eissen W.,6,77,0.5,80,6,15,0.004,Thomson,Convective,Untreated,Untreated,Untreated,,36.541,,5.66E-04,8.50E+08,2583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,247.257,1000,930.233,752.743,1,3.0444,0.7527,264.202,204.807,16.945,0.0685,0.0641,0,0.0685,0.0641,Untreated
34,1985,Eissen W.,7,151,0.1,60,15,44,0.004,Thomson,Convective,Untreated,Untreated,Untreated,,19,,3.65E-04,8.50E+08,2583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,247.257,1000,930.233,752.743,1,3.0444,0.7527,268.291,207.978,21.034,0.0851,0.0784,0,0.0851,0.0784,Untreated
35,1985,Eissen W.,8,120,0.25,60,15,35,0.035,Thomson,Convective,Untreated,Untreated,Untreated,,31,,3.65E-04,8.50E+08,2583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,247.257,1000,930.233,752.743,1,3.0444,0.7527,271.476,210.446,24.219,0.0979,0.0892,0,0.0979,0.0892,Untreated
36,1985,Eissen W.,9,88,0.75,60,15,23,0.04,Thomson,Convective,Untreated,Untreated,Untreated,,44,,3.65E-04,8.50E+08,2583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,247.257,1000,930.233,752.743,1,3.0444,0.7527,276.875,214.632,29.618,0.1198,0.107,0,0.1198,0.107,Untreated
37,1985,Eissen W.,10,53,0.5,50,25,46,0.042,Thomson,Convective,Chemical,25,180,,31,,2.87E-04,8.50E+08,2583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,230.638,1000,930.233,769.362,1,3.3358,0.7694,261.738,202.897,31.1,0.1348,0.1188,0,0.1348,0.1188,7% K2CO3 + 0.4% olive oil
38,1985,Eissen W.,11,57,0.5,50,25,36,0.055,Thomson,Convective,Chemical,25,180,,59,,2.87E-04,8.50E+08,2583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,220,1000,930.233,780,1,3.5455,0.78,248.528,192.657,28.528,0.1297,0.1148,0,0.1297,0.1148,2.5% K2CO3 + 2% ethyl oleate
39,1986,Alvarez P.,1,21,1.5,60,15,15,0.016,Thomson,Convective,Chemical,100,30,,36.93,,2.00E-04,8.48E+08,2783,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250,1000,930.233,750,1,3,0.75,560.615,434.585,310.615,0.1765,0.15,0.1337,1.2425,0.5541,"Boiling 0.15% NotApplicableOH (30 sec) + 0.3% citric acid (room temp., 3 min) + 4% NotApplicable2S2O5 (room temp., 10 min)"
40,1986,Alvarez P.,2,20,2.5,60,15,15,0.029,Thomson,Convective,Chemical,100,30,,38.952,,2.00E-04,8.48E+08,2783,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250,1000,930.233,750,1,3,0.75,465.502,360.855,215.502,0.1765,0.15,0.1015,0.862,0.4629,"Boiling 0.15% NotApplicableOH (30 sec) + 0.3% citric acid (room temp., 3 min) + 4% NotApplicable2S2O5 (room temp., 10 min)"
41,1986,Alvarez P.,3,20,3,60,15,15,0.029,Thomson,Convective,Chemical,100,30,,45.06,,2.00E-04,8.48E+08,2783,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250,1000,930.233,750,1,3,0.75,391.61,303.573,141.61,0.1765,0.15,0.0656,0.5664,0.3616,"Boiling 0.15% NotApplicableOH (30 sec) + 0.3% citric acid (room temp., 3 min) + 4% NotApplicable2S2O5 (room temp., 10 min)"
42,1986,Alvarez P.,4,21,1.5,65,12,15,0.015,Thomson,Convective,Chemical,100,30,,39.775,,2.26E-04,8.48E+08,2783,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250,1000,930.233,750,1,3,0.75,422.277,327.347,172.277,0.1765,0.15,0.082,0.6891,0.408,"Boiling 0.15% NotApplicableOH (30 sec) + 0.3% citric acid (room temp., 3 min) + 4% NotApplicable2S2O5 (room temp., 10 min)"
43,1986,Alvarez P.,5,21,2.5,65,12,15,0.013,Thomson,Convective,Chemical,100,30,,41.925,,2.26E-04,8.48E+08,2783,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250,1000,930.233,750,1,3,0.75,374.706,290.469,124.706,0.1765,0.15,0.0554,0.4988,0.3328,"Boiling 0.15% NotApplicableOH (30 sec) + 0.3% citric acid (room temp., 3 min) + 4% NotApplicable2S2O5 (room temp., 10 min)"
44,1986,Alvarez P.,6,19,3,65,12,14,0.042,Thomson,Convective,Chemical,100,30,,39.541,,2.26E-04,8.48E+08,2783,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250,1000,930.233,750,1,3,0.75,368.499,285.658,118.499,0.1765,0.15,0.0514,0.474,0.3216,"Boiling 0.15% NotApplicableOH (30 sec) + 0.3% citric acid (room temp., 3 min) + 4% NotApplicable2S2O5 (room temp., 10 min)"
45,1986,Alvarez P.,7,20,1.5,70,10,14,0.013,Thomson,Convective,Chemical,100,30,,29,,2.55E-04,8.48E+08,2783,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250,1000,930.233,750,1,3,0.75,373.646,289.648,123.646,0.1765,0.15,0.0547,0.4946,0.3309,"Boiling 0.15% NotApplicableOH (30 sec) + 0.3% citric acid (room temp., 3 min) + 4% NotApplicable2S2O5 (room temp., 10 min)"
46,1986,Alvarez P.,8,19,2.5,70,10,14,0.014,Thomson,Convective,Chemical,100,30,,37,,2.55E-04,8.48E+08,2783,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250,1000,930.233,750,1,3,0.75,342.884,265.801,92.884,0.1765,0.15,0.0334,0.3715,0.2709,"Boiling 0.15% NotApplicableOH (30 sec) + 0.3% citric acid (room temp., 3 min) + 4% NotApplicable2S2O5 (room temp., 10 min)"
47,1986,Alvarez P.,9,19,3,70,10,13,0.027,Thomson,Convective,Chemical,100,30,,49,,2.55E-04,8.48E+08,2783,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,250,1000,930.233,750,1,3,0.75,314.83,244.054,64.83,0.1765,0.15,0.0104,0.2593,0.2059,"Boiling 0.15% NotApplicableOH (30 sec) + 0.3% citric acid (room temp., 3 min) + 4% NotApplicable2S2O5 (room temp., 10 min)"
48,1986,Raouzeos G. S.,1,18,3,39.3,65.3,68,0.005,Thomson,Convective,Untreated,Untreated,Untreated,,45.93,,1.08E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,222.222,1000,930.233,777.778,1,3.5,0.7778,468.964,363.538,246.742,0.16,0.1379,0.2845,1.1103,0.5261,Untreated
49,1986,Raouzeos G. S.,2,18,3,39.3,65.3,68,0.032,Thomson,Convective,Chemical,80,30,,75.952,,1.08E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,221.978,1000,930.233,778.022,1,3.505,0.778,373.627,289.633,151.649,0.16,0.1379,0.1564,0.6832,0.4059,"0.5% NotApplicableOH (80°C, 30 sec)"
50,1986,Raouzeos G. S.,3,12,0.4,46.5,44.8,44,0.099,Thomson,Convective,Chemical,80,30,,48.96,,1.26E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,222.467,1000,930.233,777.533,1,3.495,0.7775,265.479,205.798,43.012,0.16,0.1379,0.01,0.1933,0.162,"0.5% NotApplicableOH (80°C, 30 sec)"
51,1986,Raouzeos G. S.,4,11,2.5,39.1,66,40,0.441,Thomson,Convective,Chemical,80,30,,280.775,,1.08E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,222.222,1000,930.233,777.778,1,3.5,0.7778,268.624,208.236,46.402,0.16,0.1379,0.0146,0.2088,0.1727,"0.5% NotApplicableOH (80°C, 30 sec)"
52,1986,Raouzeos G. S.,5,9,2.5,41,59.7,31,0.09,Thomson,Convective,Chemical,80,30,,230.925,,1.12E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,222.222,1000,930.233,777.778,1,3.5,0.7778,282.813,219.235,60.591,0.16,0.1379,0.0337,0.2727,0.2142,"0.5% NotApplicableOH (80°C, 30 sec)"
53,1986,Raouzeos G. S.,6,9,2,60,23.3,15,0.04,Thomson,Convective,Chemical,100,10,,49.541,,1.64E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,314.362,1000,930.233,685.638,1,2.1811,0.6856,392.663,304.39,78.301,0.16,0.1379,0.0441,0.2491,0.1994,"3% NotApplicableOH (100°C, 10 sec)"
54,1986,Raouzeos G. S.,7,9,2,60,23.3,11,0.006,Thomson,Convective,Chemical,80,30,,67,,1.64E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,309.849,1000,930.233,690.151,1,2.2274,0.6902,387.249,300.193,77.4,0.16,0.1379,0.0434,0.2498,0.1999,"0.5% NotApplicableOH + 2% ethyl oleate (80°C, 30 sec)"
55,1986,Raouzeos G. S.,8,10,2,60,23.3,14,0.008,Thomson,Convective,Chemical,80,30,,55,,1.64E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,291.269,1000,930.233,708.731,1,2.4333,0.7087,363.836,282.043,72.567,0.16,0.1379,0.0392,0.2491,0.1994,"2.5% K2CO3 + 2% ethyl oleate (80°C, 30 sec)"
56,1986,Raouzeos G. S.,9,12,2,60,23.3,65,0.259,Thomson,Convective,Chemical,80,30,,13,,1.64E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,262.093,1000,930.233,737.907,1,2.8154,0.7379,328.526,254.671,66.433,0.16,0.1379,0.0352,0.2535,0.2022,"0.5% NotApplicableOH (80°C, 30 sec)"
57,1986,Raouzeos G. S.,10,13,2,60,23.3,83,0.059,Thomson,Convective,Chemical,25,60,,8,,1.64E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,240.858,1000,930.233,759.142,1,3.1518,0.7591,302.023,234.127,61.166,0.16,0.1379,0.0314,0.254,0.2025,"3% NotApplicableOH (ambient temp., 60 sec)"
58,1986,Raouzeos G. S.,11,16,0.8,48,41.6,60,0.066,Thomson,Convective,Chemical,80,30,,35,,1.30E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,222.222,1000,930.233,777.778,1,3.5,0.7778,257.3,199.457,35.078,0.1579,0.1363,0,0.1579,0.1363,"0.5% NotApplicableOH (80°C, 30 sec)"
59,1986,Raouzeos G. S.,12,15,0.8,48,41.6,56,0.078,Thomson,Convective,Chemical,80,30,,56,,1.30E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,222.222,1000,930.233,777.778,1,3.5,0.7778,257.329,199.48,35.107,0.158,0.1364,0,0.158,0.1364,"2.5% K2CO3 + 2% ethyl oleate (80°C, 30 sec)"
60,1986,Raouzeos G. S.,13,8,2,48,41.6,26,0.069,Thomson,Convective,Chemical,80,30,,75,,1.30E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,222.222,1000,930.233,777.778,1,3.5,0.7778,257.547,199.649,35.324,0.159,0.1372,0,0.159,0.1372,"2.5% K2CO3 + 2% ethyl oleate (80°C, 30 sec)"
61,1986,Raouzeos G. S.,14,7,2,48,41.6,21,0.085,Thomson,Convective,Chemical,80,30,,95,,1.30E-03,8.50E+08,2083,5.92E-03,2.30E-02,5.49E-01,29.6,1075,400,0.822,222.222,1000,930.233,777.778,1,3.5,0.7778,257.411,199.543,35.189,0.1584,0.1367,0,0.1584,0.1367,"0.5% NotApplicableOH + 2% ethyl oleate (80°C, 30 sec)"
62,1986,Riva M.,1,17,2.5,50,15,13,0.034,Ruby,Convective,Chemical,40,180,,59.93,,3.77E-04,8.55E+08,2497,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,176.838,1000,930.233,823.162,1,4.6549,0.8232,251.745,195.151,74.907,0.082,0.0758,0.0747,0.4236,0.2976,"2.5% K2CO3 + 3% ethyl oleate (40°C, 3 min)"
63,1986,Riva M.,2,13,2.5,50,15,15,0.014,Thomson,Convective,Chemical,40,180,,55.952,,3.77E-04,8.55E+08,2497,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,197.24,1000,930.233,802.76,1,4.07,0.8028,291.621,226.063,94.381,0.105,0.095,0.0942,0.4785,0.3236,"2.5% K2CO3 + 3% ethyl oleate (40°C, 3 min)"
64,1986,Riva M.,3,12,2.5,50,15,14,0.017,Emerald,Convective,Chemical,40,180,,48.96,,3.77E-04,8.55E+08,2497,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,202.041,1000,930.233,797.959,1,3.9495,0.798,324.088,251.231,122.047,0.16,0.1379,0.1172,0.6041,0.3766,"2.5% K2CO3 + 3% ethyl oleate (40°C, 3 min)"
65,1986,Riva M.,4,12,2.5,50,15,17,0.017,Delight,Convective,Chemical,40,180,,40.775,,3.77E-04,8.55E+08,2497,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,191.1,1000,930.233,808.9,1,4.2329,0.8089,305.643,236.933,114.543,0.13,0.115,0.1144,0.5994,0.3748,"2.5% K2CO3 + 3% ethyl oleate (40°C, 3 min)"
66,1986,Riva M.,5,11,1.5,50,15,22,0.024,Rodi,Convective,Chemical,40,180,,35.925,,3.77E-04,8.55E+08,2497,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,220.519,1000,930.233,779.481,1,3.5348,0.7795,309.177,239.672,88.658,0.105,0.095,0.0866,0.402,0.2868,"2.5% K2CO3 + 3% ethyl oleate (40°C, 3 min)"
67,1986,Riva M.,6,8,1,50,15,24,0.049,Ruby,Convective,Untreated,Untreated,Untreated,,19.541,,3.77E-04,8.55E+08,2497,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,179.893,1000,930.233,820.107,1,4.5589,0.8201,438.535,339.95,258.642,0.205,0.1701,0.2831,1.4378,0.5898,Untreated
68,1986,Riva M.,7,12,0.05,30,50,116,0.065,Ruby,Open Sun,Chemical,40,180,,57,,2.26E-04,8.55E+08,2497,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,180.478,1000,930.233,819.522,1,4.5408,0.8195,236.714,183.499,56.235,0.08,0.0741,0.0519,0.3116,0.2376,"2.5% K2CO3 + 3% ethyl oleate (40°C, 3 min)"
69,1986,Riva M.,8,10,0.05,30,50,118,0.052,Thomson,Open Sun,Chemical,40,180,,35,,2.26E-04,8.55E+08,2497,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,195.808,1000,930.233,804.192,1,4.1071,0.8042,321.352,249.11,125.544,0.111,0.0999,0.1327,0.6412,0.3907,"2.5% K2CO3 + 3% ethyl oleate (40°C, 3 min)"
